Linhas de Ouro - Normal - Exness - 01/05/2026 a 14/09/2026 - Virada mira nivel 4.8 - COM VIRADA - COLUNAS EM BRT
DATA;XAU H1M1 12H;XAU H1M1 22H;XAU H1M1 20H;XAU H1M1 21H;XAU H1M1 03H;XAU H1M5 21H;XAU H1M5 22H;XAU H1M5 14H;XAU H1M5 23H;XAU H1M5 15H;USTEC H1M1 10H;USTEC H1M1 00H;USTEC H1M1 20H;USTEC H1M1 11H;USTEC H1M1 22H;USTEC H1M5 02H;USTEC H1M5 17H;USTEC H1M5 23H;USTEC H1M5 00H;USTEC H1M5 01H
21/06/2026;;Take;Take;Take;;Virada;Take;;Stop;;;;Virada;;Take;;;Virada;;
22/06/2026;Take;Take;Take;Stop;Take;Take;Take;Stop;Take;Stop;Virada;Take;Take;Take;;Take;Take;;Take;Take
23/06/2026;Virada;Take;Take;Take;Stop;Take;Take;Take;Take;Take;;;;;Take;;;Take;;
24/06/2026;Stop;Virada;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Virada;Stop;Take;Stop;Virada;Stop;Stop
25/06/2026;Stop;Take;Virada;Virada;Stop;Virada;Virada;Stop;Virada;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Take
26/06/2026;Take;;;;Take;;;Stop;;Stop;Stop;Virada;;Stop;;Stop;Take;;Virada;Stop
28/06/2026;;Take;Take;Stop;;Stop;Take;;Take;;;;Virada;;Virada;;;Stop;;
29/06/2026;Virada;Take;Stop;Take;Virada;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take;Take;Stop;Take;Take;Take
30/06/2026;Take;Take;Virada;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Virada;Take;Take;Take;Take;Take;Stop
01/07/2026;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Take;Stop;Take;Stop;Take;Take;Virada;Take;Take;Take
02/07/2026;Stop;Take;Take;Take;Take;Take;Take;Stop;Stop;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take
03/07/2026;Virada;;;;Stop;;;;;;Virada;Stop;;Virada;;Take;;;Take;Take
05/07/2026;;Take;Take;Virada;;Virada;Take;;Take;;;;Stop;;Take;;;Take;;
06/07/2026;Take;Take;Take;Virada;Take;Take;Virada;Virada;Virada;Stop;Stop;Stop;Take;Stop;Take;Stop;Take;Take;Take;Take
07/07/2026;Take;Stop;Stop;Take;Stop;Take;Take;Take;Virada;Take;Take;Take;Take;Take;Stop;Stop;Virada;Stop;Take;Stop
08/07/2026;Virada;Take;Take;Stop;Take;Virada;Take;Stop;Virada;Stop;Take;Virada;Virada;Take;Stop;Take;Take;Take;Virada;Take
09/07/2026;Take;Take;Stop;Stop;Stop;Stop;Take;Virada;Take;Take;Take;Take;Virada;Take;Take;Take;Take;Virada;Take;Virada
10/07/2026;Virada;;;;Take;;;Virada;;Take;Take;Take;;Take;;Take;Take;;Take;Take
12/07/2026;;Stop;Stop;Take;;Take;Take;;Stop;;;;Virada;;Take;;;Take;;
13/07/2026;Take;Take;Stop;Stop;Stop;Take;Take;Take;Take;Stop;Take;Stop;Take;Stop;Take;Stop;Take;Virada;Take;Stop
14/07/2026;Virada;Take;Take;Virada;Take;Virada;Take;Take;Stop;Take;Stop;Stop;Take;Stop;Stop;Take;Take;Stop;Take;Take
15/07/2026;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Virada;Take;Take;Virada;Take;Stop;Take;Take;Virada;Stop;Stop
16/07/2026;Take;Take;Take;Stop;Virada;Virada;Stop;Stop;Virada;Stop;Stop;Stop;Take;Take;Take;Take;Take;Take;Virada;Virada
17/07/2026;Take;;;;Virada;;;Take;;Virada;Stop;Take;;Take;;Stop;Take;;Take;Take
19/07/2026;;Stop;Virada;Take;;Take;Stop;;Take;;;;Take;;Stop;;;Take;;
20/07/2026;Stop;Take;Take;Take;Virada;Take;Take;Stop;Take;Take;Take;Stop;Take;Stop;Take;Take;Take;Take;Stop;Virada
21/07/2026;Take;Take;Virada;Take;Take;Take;Virada;Take;Stop;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Virada
22/07/2026;Virada;Take;Take;Virada;Take;Take;Take;Take;Virada;Take;Take;Virada;Virada;Stop;Take;Take;Take;Take;Take;Take
23/07/2026;Take;Virada;Stop;Stop;Take;Virada;Virada;Stop;Take;Stop;Take;Stop;Take;Stop;Take;Virada;Stop;Take;Stop;Stop
24/07/2026;Take;;;;Take;;;Virada;;Virada;Virada;Stop;;Stop;;Virada;Take;;Stop;Take
26/07/2026;;Take;Take;Stop;;Take;Take;;Take;;;;Take;;Stop;;;Take;;
27/07/2026;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Virada;Take;Take;Stop;Take;Take;Stop;Take;Stop;Virada;Take
28/07/2026;Take;Take;Stop;Stop;Take;Stop;Stop;Take;Stop;Stop;Take;Stop;Take;Take;Take;Stop;Virada;Virada;Stop;Stop
29/07/2026;Take;Stop;Take;Stop;Virada;Stop;Stop;Take;Take;Take;Stop;Virada;Take;Take;Take;Virada;Take;Take;Stop;Take
30/07/2026;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Stop;Take;Virada;Stop;Virada;Virada;Virada
31/07/2026;Stop;;;;Take;;;Take;;Take;Take;Take;;Virada;;Virada;Take;;Take;Take
02/08/2026;;Stop;Take;Take;;Take;Stop;;Stop;;;;Stop;;Virada;;;Take;;
03/08/2026;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take;Take;Stop;Stop;Take;Take;Take;Take;Take;Stop;Take
04/08/2026;Virada;Take;Take;Take;Stop;Take;Take;Virada;Take;Take;Take;Stop;Stop;Take;Take;Take;Stop;Take;Take;Take
05/08/2026;Virada;Stop;Take;Stop;Stop;Stop;Virada;Take;Take;Stop;Stop;Take;Virada;Take;Virada;Stop;Take;Take;Stop;Take
06/08/2026;Take;Take;Take;Take;Take;Take;Take;Stop;Virada;Stop;Take;Take;Take;Stop;Take;Take;Stop;Take;Take;Take
07/08/2026;Stop;;;;Take;;;Stop;;Virada;Take;Take;;Virada;;Take;Stop;;Take;Take
09/08/2026;;Stop;Stop;Virada;;Stop;Stop;;Take;;;;Stop;;Take;;;Stop;;
10/08/2026;Take;Virada;Take;Stop;Take;Virada;Stop;Take;Take;Take;Stop;Stop;Take;Stop;Stop;Virada;Virada;Stop;Take;Take
11/08/2026;Take;Take;Stop;Take;Virada;Take;Take;Take;Stop;Take;Take;Take;Stop;Take;Stop;Take;Take;Take;Virada;Take
12/08/2026;Stop;Take;Take;Take;Take;Virada;Take;Stop;Take;Take;Take;Stop;Take;Stop;Stop;Take;Take;Virada;Virada;Stop
13/08/2026;Take;Virada;Virada;Take;Take;Virada;Take;Take;Take;Stop;Take;Stop;Take;Stop;Take;Stop;Stop;Take;Stop;Stop
14/08/2026;Virada;;;;Stop;;;Stop;;Stop;Take;Take;;Take;;Take;Take;;Stop;Take
16/08/2026;;Stop;Virada;Take;;Virada;Stop;;Stop;;;;Virada;;Take;;;Take;;
17/08/2026;Stop;Take;Take;Take;Take;Take;Take;Stop;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Virada
18/08/2026;Take;Take;Virada;Take;Stop;Take;Take;Take;Stop;Take;Stop;Take;Virada;Stop;Stop;Take;Take;Stop;Take;Take
19/08/2026;Stop;Virada;Take;Take;Take;Take;Virada;Virada;Take;Stop;Take;Take;Take;Virada;Take;Take;Take;Stop;Stop;Stop
20/08/2026;Take;Take;Virada;Take;Take;Take;Take;Take;Take;Take;Stop;Stop;Virada;Stop;Stop;Virada;Take;Take;Take;Take
21/08/2026;Take;;;;Take;;;Stop;;Stop;Take;Take;;Take;;Take;Virada;;Take;Stop
23/08/2026;;Take;Take;Virada;;Virada;Take;;Stop;;;;Take;;Take;;;Take;;
24/08/2026;Take;Take;Take;Take;Stop;Take;Take;Virada;Stop;Take;Virada;Take;Take;Take;Stop;Take;Virada;Take;Take;Take
25/08/2026;Take;Virada;Take;Take;Virada;Stop;Take;Take;Virada;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take
26/08/2026;Take;Virada;Take;Take;Take;Virada;Stop;Stop;Take;Virada;Take;Take;Virada;Take;Take;Stop;Take;Virada;Stop;Take
27/08/2026;Take;Virada;Take;Stop;Take;Stop;Virada;Take;Take;Stop;Stop;Take;Take;Take;Stop;Stop;Stop;Stop;Take;Take
28/08/2026;Take;;;;Take;;;Take;;Take;Stop;Stop;;Stop;;Stop;Virada;;Stop;Stop
30/08/2026;;Stop;Virada;Stop;;Take;Stop;;Take;;;;Take;;Take;;;Take;;
31/08/2026;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Stop;Virada;Stop;Virada;Take;Stop;Take;Take
01/09/2026;Virada;Stop;Virada;Stop;Take;Virada;Take;Take;Take;Take;Stop;Virada;Stop;Take;Take;Take;Take;Stop;Take;Virada
02/09/2026;Stop;Take;Virada;Stop;Stop;Take;Take;Take;Take;Take;Stop;Stop;Virada;Take;Stop;Stop;Stop;Stop;Stop;Stop
03/09/2026;Stop;Stop;Virada;Virada;Virada;Stop;Stop;Virada;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take
04/09/2026;Take;;;;Virada;;;Take;;Virada;Take;Stop;;Take;;Stop;Take;;Take;Take
06/09/2026;;Stop;Stop;Take;;Take;Virada;;Stop;;;;Take;;Take;;;Stop;;
07/09/2026;Stop;Stop;Take;Take;Take;Take;Take;Virada;Take;Take;Take;Take;Virada;Take;Take;Take;;Stop;Take;Take
08/09/2026;Take;Take;Virada;Take;Take;Take;Take;Take;Take;Take;Virada;Take;Take;Stop;Take;Take;Virada;Stop;Virada;Take
09/09/2026;Take;Virada;Virada;Take;Virada;Take;Take;Stop;Virada;Take;Take;Take;Stop;Take;Stop;Take;Take;Stop;Stop;Virada
10/09/2026;Virada;Stop;Stop;Stop;Take;Stop;Stop;Take;Take;Stop;Take;Virada;Stop;Stop;Take;Stop;Stop;Take;Virada;Take
11/09/2026;Stop;;;;Take;;;Take;;Take;Take;Take;;Stop;;Take;Take;;Take;Take
13/09/2026;;Take;Stop;Stop;;Take;Aberto;;Take;;;;Virada;;Stop;;;Take;;
14/09/2026;;;;;Take;;;;;;;Take;;;;Take;;;Take;Take
